SMILES,Validity
COc1cc(-c2ccccn2)onn1,invalid
CC(=O)Nc1ccc(B(O)O)c(O)c1,valid
OCc1ccccc1CCCCOc1ccccc1C(=O)NO,valid
CCCOC(=O)c1ccncn1Cl)c1ccccc1,invalid
COc1ccccc1CC(S)NS(=O)(=O)CC(=O)c1ccccc1,valid
CCC(=O)N(CC(c1ccccc1)P(=O)(O)O)P(=O)(O)O,valid
NCCNCCOC(=O)Nc1ccc(Cl)o1,valid
CCCCC(F)(F)(F)(F)(F)F)C#CCC(C)c1ccccc1,invalid
O=c1oc2cc(Cl)ccc2s1,valid
CCC(P(=O)(O)O)c1cccc(O)c1,valid
CCC(=O)N(c2cccnn2)nn1C,invalid
CC(=O)OCc1ccc(-n2ccnc2)n1,invalid
CNC(=O)c1ccc(C(=O)Nc2ccc(C)cc2)cc1,valid
CCCCCCCc1ccc(OC)cc1,valid
COc1ccc(CNS(=O)(=O)CSC2S(=O)(=O)N(CC)F)cc2c1,invalid
O=Oc1cccc2cc(O)cc12,invalid
O=C(NNC(=O)Nc1cccc(O)c1,invalid
CCCNC(N)=O,valid
CC(N)=O,valid
CN#CSc1ccc(C(=O)NOC)cc1CC(=O)O,invalid
CC(SCC(c1ccncc1)NO)C(=O)CSc1ccccc1,valid
Cn1cncc1C(N)=O,valid
CNc1nc2occc(S(=O)(=O)(O)O)c1OC,invalid
CCCCCCCCC(c1ccc(O)cc1)NC1CCCCCN(C)CCCNCCCC(O)O1,valid
CCCCCSCOP(=O)(O)O,valid
CCCCCCCCCCOc1ccc(N)c(O)n1,valid
CCCCCCCCCC(=O)N,valid
CCCCCCCCCOc1ccc(O)c(O)c1,valid
CCC(N)(C)CC(C)(C)Cc1cnccc1SO,valid
Cc1ccc(-c2ccccc2CN)nc1,valid
CCCN(CC)CCNC(N)N,valid
Oc1ncc(-c2ccc(F)c(C)n2)c(-c2ccccc2)nc1Cc1ccccc1,invalid
Oc1ccc(-c2ccc(Cl)o2)nc1,valid
CCCCCOc1cccc(C(=O)NCc2cc(C)(F)c(C)c2)c1,valid
O=C(NN(CCC)CCCCSCCC1=CC(O)=O)N1c1ccc(Sc2ccc(F)cc2)cc1,valid
CCCCC1(F)(-c2ccnc(C)C(N)n2)on1Cc1ccccc1,invalid
CCCCCCNc1cccc2c(C)ccc2c1,valid
CC(c1ccccc1)C(P(=O)(O)O)P(=O)(O)O,valid
Oc1ccc(SS(=O)(=O)NO)cc1,valid
CCCC(=O)NCC(c1cccs1)c1nccs1,valid
O=C(O)c1ccccc1CN,valid
COCc1ccc(OC)cc1,valid
CCC(C)c1ccccc1C(=O)Nc1cccc2ccccc12,valid
CC1=CCC(NO)C(=O)N(C)CCCC(=O)NO,invalid
CC(NCC(=O)NN(C)N(C)CCCCCCNCc1ccc(B(F)(F)F)s1,invalid
C(C)(c1nsc(-n2ccnc2)n1-c1cccc(F)c1,invalid
CC(=O)c1ccc(-c2ccccn2)cc1,valid
COC(=O)c1ccc(-c2ccccc2)cc1,valid
CN(C)CCSCc1ccc(-n2cnc(S)n2)cNO)c1,invalid
Cc1cccnc1C(F)(F)F)F,invalid
O=C(SCc1ccccc1F,invalid
CCCCCCCOC(=O)Nc1nc2ccccc2n1C,valid
Clc1cccc(-n2cnc(C(=O)O)c2)cc1,invalid
O=C1(Sc2cccc(F)n2)s1,invalid
Clc1nc2cc(C)oc2onc1CCc1ccccc1,valid
CCCCC(=O)NOC(=O)NCc1ccco1,valid
COc1cccc(-c2ccnc((C)F)c2)nc1,invalid
O=C(Nc1ccc(Cl)cc1Cl)Nc1ccccc1,valid
OC1CCCOC(=O)N1,valid
CCN(C)COC(=O)OCCCCCP(=O)(O)O,valid
S=C(c1ccccc1)c1ccccc1C(O)P(=O)O,valid
OC(C)P(=O)(O)O,valid
CCCc1cccc(O)c1C(=O)Nc1cccc(F)c1,valid
CCCC(N)=O,valid
c1ccc(-c2cccnc2C)o1,valid
c1cccnc1C(O)Nc1cccc(Cl)c1,valid
CCCCCOC(c1ccc(C)cc1)NCCCO,valid
O=C(NNC(c1ccccc1)C(S(=O)(=O)O)c1cccc(B(O)O)c1,invalid
CCCCCCOC(N)P(=O)(O)O,valid
CCCCNC(=O)c1cccnc1C,valid
O=C(O)c1ccccc1Oc1ccccc1C=O,valid
Oc1ccc(-c2ccccc2Cl)o1,valid
CCCC1=CNC(c2ccccc2)nc1F,valid
COc1cc(N(C)Cc2ccccc2)c(O)n1Cc1ccccc1,valid
COc1ccc(-c2cc(C)c(S)nc(N)c2)n1,invalid
CC(=O)N(Cn2cnnc2)c1=O,invalid
O=Cc1cc2occ(N)c2n1Cc1ccccc1F,valid
Oc1cc(-c2ccc(OC)ccc2=O)o1,invalid
CCCCCC1(O)P(=O)(O)Nc2ccccc2C1=O,valid
Oc1cc(-c2ccccn2)ccc1,valid
CCCS(=O)(=O)Nc1nc(-c2ccc(F)cc2)cc(C(=O)O)c1F,valid
CC(=O)Nc1cc(-c2ccsc2)cc(=O)c1,invalid
CCCCC(=O)NCc1ccccc1CCCN,valid
Oc1ccc(NC(=O)NOS(=O)(=O)NN(CC)CCc2ccccc2)cc1F,valid
CC(C)(F)CNS(=O)(=O)c1ccccc1Cl,valid
CCC(=O)Cn1nccs1,invalid
CCCOC(c1cccc(Cl)o1)Nc1nccs1,invalid
NCCN1CCC1=CC(N(C)CCCN)N1.Cl,invalid
CCCCCOOC(=O)c1nc(-c2ccccc2)nn1Cc1ccccc1Cl,valid
CC(NCC(=O)NCc1ccc(O)o1,invalid
CN(C)c1cccc(OC)c1C,valid
O=C(NO)c1ccccc1N,valid
CNC(C)CN(C)Cc1ccccc1,valid
CS(=O)(=O)NCC(c1cccnc1)NCc1ccc(O)cc1,valid
C=CCc1nc2cc(O)ccc2o1,valid
CCC(=O)NCC(N)C(=O)C(c1cccnc1)NO,valid
N#Cc1ccccc1NS(=O)(O)C(S)NC(=O)c1ccc(O)c(C)c1Cl,valid
CCC(=O)N=C(O)CS(=O)(=O)NCCNC(O)C.Cl.Cl.Cl.Cl.O.Clc1ccccc1,valid
CCc1c(C)cc(S(=O)(=O)NC(=O)CC(=O)CSS(=O)(=O)NO)cc1,valid
CC(C)P(=O)(O)O,valid
CC(C)CCNCCn1nc(Nc2ccccc2)nn1-c1ccccc1,invalid
CCC(C)NO,valid
CCCCCCC(=O)NCc1ccc(-c2cnc(N)cc2)o1,valid
CC(=O)NC(=O)c1snc(S(=O)(=O)O)c1,valid
CCCCCCC(=O)OCC(=O)NCc1ccccc1,valid
CN(C)c1ccc(-c2ccccc2)n2ccnc2O1,valid
CCCCC(F)(F)(F)OC(P(=O)O)(F)OC(C)N(C)c1sc(-c2cccnc2)nn1,invalid
CCCCC1=C(C)CC2CCCCC2OCCCC2)=O,invalid
N#Cc1ccccc1NS(=O)(=O)c1ccc(I)cc1,valid
CN(C)Cc1ccccc1OCP(=O)(O)O,valid
COc1ccccc1C(S)=Cc1ccc(B(O)O)c1,invalid
CCCOc1ccc(N)cc1,valid
CCOC(F)(F)F,valid
CCCCCC(C)(C)CCCCCNC(=O)NCc1nc2ccc(N)cc2cc1,valid
CCCOC(=O)N(Cc1ccccn1)NCCCCCNC(O)C(=O)O,valid
CCCCCC(O)CCOc1ccc(Nc2cc(C)n2)cn1C,invalid
O=C(Cn1cncc1)C(F)F,valid
CCc1ccccc1C(F)(F)(F)(S)NS(=O)(=O)NCC(=O)Nc1ccc(-c2cccnc2)cc1,invalid
COc1ccc(CN(CC)C)cc1,valid
CON(CC)CCNC(=O)Nc1ccc(-c2ccccn2)cc1,valid
CN(CO)c1ccc(-c2ccccc2)o1,valid
CCCC(c1ccccc1)C(O)OCCCCC(P(=O)(O)O)O,valid
CNc1ccc(C(F)F)o1,valid
O=C(Nn1ccnc1)c1ccccc1,valid
CCCCCCC(C)OCC(C)CCc1cc(O)cc(O)c1C,valid
NC(C)c1ccc(SC)cc1Cl,valid
CC(C)OCCCc1cc(O)ccc1CO,valid
O=C(Nn1nc(-c2ccccn2)nn1Cc1ccccc1)c1ccccc1,invalid
CC(=O)NOCC(Cn1nc2ccccc2O)cc1,invalid
CC(C)=OC(Cc1cccs1)N(Cc1ccccc1)C(O)O,invalid
Nc1cc(S)cc2ccccc2c1C1=O,invalid
CN(CC)CCNc1nc2cc(C)ccc2n1,invalid
COc1ccccc1C(S)SSSC(P(=O)(=O)O)O,valid
CCCC1=C(NNC(=O)N(CC(=O)N(N(C(=O)Nc2ccccc2)ccn2c1)Nc1ncc(F)c(-c2ccccc2)n1),invalid
CCCOC(=O)NCCCc1ccccc1C(=O)N,valid
CC(C)c1ccco1,valid
O=C(Sc1cccnc1)c1ccccc1,valid
CCN(C)COc1cccnc1N,valid
NCC(=O)c1ccc(Cn2ccnc2)n1Cc1ccccc1,valid
Cl.O=C(O)S(=O)(Cn1nncn2cncc12,invalid
COc1ccc(NC(=O)CSC(=O)Nc2cc(C)c(C)F)cc2=O)cn1,invalid
O=C(NO)c1ccccc1,valid
O=C(Nc1ccccc1)C1CS,invalid
CCCCC1(O)C(=O)Nc2ccccc2N(C)CCCO1,valid
Cn1cc(NC(=O)C(S)=O)n(-c2ccccc2)nnn1C,valid
N.Cl.Cl.OCCOCc1ccc=c(Cc2ccccc2C#N)n1,invalid
O=P(O)(O)P(=O)(O)OOCc1ccc(-c2ccccc2)o1,valid
COc1ccc(C(F)(F)F)cc1,valid
O=C(Nc1cccc(NC(=O)SCC)c1)c1ccc(O)c(O)c1,valid
CCCCCCCCCCCCCC1=Cc2ccccc2CCc2nnc(N)(C)c2CCO)cc1,invalid
CNc1nc(CO)ccc1CCN.Cl,valid
O=C1Cc2ccccc2Cc2cc(OC)cc2C#N)cc1,invalid
CCCCNCCc1cc(O)ccc1,valid
CCCOCC(=O)Nc1ccc(-c2ccccc2)o1,valid
CCCC(=O)NC(=O)Nc1ccc(C(=O)O)cc1,valid
O=c1onc2nnc(NO)n2c1/,invalid
CC(C)n1ccnc1C(F)(C)F,valid
OC(Nc1cccc(C(=O)O)c1)c1ccco1,valid
CCC(=O)NCC(P(=O)(O)O)O,valid
COc1cccc(C(=O)NO)c1,valid
O=P(O)(O)c1cncs1,valid
CN(C)CCONC(=O)c1ccc(C=O)o1,valid
CC(=O)Nc1cc(N(C)CC)ccc1C(N)=O,valid
Cn1nc(-c2ccccc2)nn1C,invalid
CNc1nc2cc(N)cc(CC)s2)c1C,invalid
CN(C)CCc1ccc(O)c(O)c1CCO,valid
O=C(NNC(=O)Nc1ccc(F)cc1)c1ccc(-c2ccco2)o1,valid
CCCC(O)C(O)Cc1cccc(-c2ccc(O)o2)cn1,invalid
O=C1=C(Nc2ccc(C(F)(F)(F)F)cc2)cs1)Nc1ccccc1,invalid
OCC(O)c1ccccc1,valid
Cc1ncc(-c2ccccc2)c(O)n1SO,invalid
CCCOC(=O)Nc1ccc(-n2cnc(C)(F)F)c2)cn1,invalid
CNC(F)(F)C(C)SCCC(=O)NCc1ccccc1,valid
O=C(c1ccccc1)SC1=O,invalid
CCCCCCCCCCCC(=O)NO,valid
S=C(NCC(Nc1ccccc1)SCc1ccccc1)c1ccccc1,valid
O=C(Nc1ccccc1)Nc1cccc(Cl)c1,valid
O=c1oc2ccccc2n1-c1ccc(-c2cccc(F)c2)oc1P,invalid
COc1ccc(S(=O)(=O)CCS(=O)(=O)NO)cc1,valid
CCCOc1ccc(C(=O)O)cc1OCC,valid
CSc1ncccc1SSc1nc2ccc(N(C)C(=O)O)cc2O)cc(S)n1,invalid
CCCOCCc1ccccc1C1=Nc2cc(O)ccc2C(=O)o1,valid
O=CS(=O)(Nc1ccccc1)NC(=O)CCS,valid
CCCCCCCCCCCNCCCCN,valid
O=C(O)c1sccc1N,valid
O=C(O)Cc1ccccc1,valid
O=C(c1ccc(-c2cccnc2)cn1)NC(O)COCc1ccccc1,valid
CC(C)(C)c1ncco1Cc1ccccc1,invalid
Nc1ccc(-c2ccccn2)c(O)cc1,invalid
Oc1cc(CS2CCCCCCC2)ccc1Cl,valid
CC(C)c1cccc(=O)n1O,valid
CCOC(N)=O,valid
COc1ccc(NC(=O)CC(=O)NO)cc1,valid
CCCC1N(C)CCCCSCC1=C(N)CCO1,invalid
CCCCCCCCCC(=O)O,valid
Oc1cc(-c2cccc(Cl)c2)nc(S)nn1C,valid
NC1CCO1,valid
CN(C)CCNCCn1ccnc1C(c)C(S)n1cccn1,invalid
CCCCCCCCc1ccc(O)c(O)c1,valid
CN(CO)c1ccccc1C(O)P(=O)O,valid
O=C(NSS)NS(=O)(c1ccccc1F)Nc1oc2ccc(N)s2)cc1C,invalid
O=C(NO)c1nc(-c2ccccc2)onn1,invalid
CCCCOC(=O)Nc1ccc(C(=O)O)o1,valid
O=C(Cc1ccccc1,invalid
CCCCCCOC(=O)Nc1nc(NC(=O)c2ccccc2O)on1,valid
CC(NC)CP(=O)(O)O,valid
CN(CO)c1ccccc1C(c1oS(=O)(=O)NO)n1sccn1,invalid
CCCCCNCC(=O)Nc1ccc(OC)cc1,valid
O=C(NO)Cc1cccc(O)c1,valid
O=c1oc2ccccc2cc1,valid
CCCCCCCCCOOc1cnccc1C(=O)NC(C)CCCCCN,valid
COc1ccc(-c2ncc(N)nc2)o1,valid
O=C(NO)c1ccco1,valid
COc1ccc(N)c(-c2ccnc2)o1,invalid
CCC(=O)OCCOc1ncc(-c2ccc(C)cc2)nn1,valid
O=C(NCc1cccc(O)c1)c1ccccc1,valid
CCOC(P(=O)(O)O)OCCCP(=O)(O)O,valid
CC(C)(O)CC(c1ccc(F)c(F)c1)CCS(=O)(=O)O,valid
CNCCC(=O)c1ccccc1C,valid
NC#CCCCCc1ccccn1C1CCCO1,invalid
CCCCc1nc(-c2cccs2)ccn1,valid
COc1ccc(-c2cnc(S(=O)(=O)O)n2)cc1,invalid
CN(C)CCCCCCS1CCN1,valid
Clc1ccccc1C(=O)NNC(O)COc1ccccc1Cc1ccccc1Cc1ccccc1,valid
CCCNCCNCCCN,valid
CCCOc1cnc(CCCO)cc1,valid
CCCC(c1ccccc1)N(C)Cc1ccccc1,valid
CC(NN=C(N)CCc1ccc(O2CCCCO)oO2)cc1,invalid
CCCOc1ccc(C(=O)O)Nc2ccccc2C1=O,valid
CC(C)CCCCc1ccccc1,valid
CCCON(Sc1ccccc1)c1ccccc1O,valid
O=C(Nc1ncc(-c2cccnc2)Cn2ccnc2)n1-c1ccccc1,invalid
CCCn1nc(NC(=O)Nc2cc(N)cc2)nnc1CCO,invalid
CNc1nncnc1-c1ccc(NC(=O)CCc2ccc(N)cc2)cc12,invalid
CCCCON(C)CCCCN,valid
O=C(NS(=O)(=O)c1occcn1)c1ccc(-c2ccccc2)cc1,invalid
CCCC(c1cccc(O)c1)C(P(O)(O)O)P(=O)(O)O,valid
CCC(=O)N(CCCCO)C(F)N,valid
O=C(Nc1ccc(-c2ccccn2)cn1,invalid
CC(N)S(=O)(=O)c1ccccc1,valid
COc1ccccc1C(=O)NCCC(C)P()O,invalid
CCCCCc1ccoc1-c1ccccc1,valid
CC(c1ccccc1)NO)c1ccccc1,invalid
CN(C)CCNCCC(c1ccccc1)C(=O)NO,valid
CCCc1nc(Nc2ccccc2)c(B(O)O)O)cc12,invalid
O=C(NO)c1ccccc1,valid
Cc1nc2ccccc2cc1Cc1ccc(-c2ccc(F)c(F)c2)cc1,valid
CC(C)(P(=O)(O)O)N(CC)OC,valid
CS(=O)(NC(=O)c1nc(-c2ccc(F)n2)cs1,invalid
CCCCCCCCCCCCc1ccc(O)c(O)c1,valid
O=C(NNC(=O)O)c1ccc(O)cc1,valid
N(C)c1ccnc2ccc(S(=O)(=O)O)o1,invalid
N#Cc1ccccc1NC(=O)OCCCC(=O)Nc1ccccc1,valid
CC(C)c1cccc2sccc2c1,invalid
O=C(O)c1ccccc1C(=O)n1sccc1,invalid
COc1ccc(CNC(=O)O)cc1,valid
CCCCCOCc1ccc(O)c(C(=O)O)c1,valid
CC(=O)NC(NO)c1cc(-c2ccccc2)onnn1-c1ccccc1,invalid
CCCCCCCCC1(C)=C1(O)C(=O)P(=O)(O)O,invalid
CSc1ccc(S(=O)(=O)NO)cc1,valid
CCCCCCCCC(=O)N(O)COCc1cccc(O)c1,valid
O=C(CCCCNc1nnc(-c2ccccc2)nn1Cc1ccccc1)C1=O,invalid
O=C1Cc2ccccc2O1=O,invalid
CCCC(N)=O,valid
O=C(NNO)c1ccc(NC(=O)NO)cc1,valid
CC(C)CNc1scc(CC(=O)NO)c1,valid
O=C(NN=C(c1ccc(O)cc1,invalid
N=Cc1cccc(O)c1,valid
O=C(NNC(=O)c1ccc(Cl)cc1)P(=O)(O)O,valid
CCCCCCOc1cc(NC(=O)SCC(=O)CC(=O)c2cccc(OCC)c2)cc1,invalid
CS(=O)(O)CC(=O)Nc1ccccc1Cl,valid
CN(CC)CN,valid
Clc1ccc(NC(=O)NC(CC(=O)Nc2cc(C)C)ccc2C#N)n1,invalid
NCC(=O)Nc1ccccc1SCc1nccc(O)c1,valid
Oc1ccc(Cl)cc1C(=O)O,valid
COc1ccc2ncc(N)c(O)c2c1=O,invalid
COc1ccccc1SS(=O)(=O)n1cncn1,valid
CC(c1ccccc1)c1cc(F)c(B)c(C)o1,invalid
CCOc1ccc(S(=O)(=O)NCc2cc(C)c(F)c(F)n2)c(I)c1C,valid
CN(C)c1ccc(-c2ccccc2)nn1-c1cccc(-c2cccc(F)2)cc1,invalid
CC(=O)Nc1cc(-c2ccccc2)o1,invalid
CCCCCCCCC(c1cccnc1)NC(=O)CP(=O)(O)O,valid
N#Cc1ccc(S(=O)(=O)O)cc1.Cl,valid
CCOC(=O)NSC(c1ccccc1)C(P(=O)(=O)O)O,valid
CC(S)=CC(N)=S)NCc1cccc(O)c1,invalid
CCCCCCCOC(=O)NC(S)=N)N=O,invalid
COc1ccc(NC(=S)Nc2cc(S(=O)(=O)O)sc2)cc1,valid
NC(=O)Cn1ncc(-c2ccccc2)n1Cc1ccccn1,invalid
CC(N)CCNC(=O)Nc1ccc(S(=O)(=O)O)cc1,valid
COc1cccc2cc(OC)cc12,invalid
CC(P(=O)(O)O)P(=O)(O)OP(=O)(O)P(=O)(O)C(F)O,valid
O=CC(O)CCOc1ccccc1C(=O)N.Cl,valid
Nc1ncc(NC(=O)Nc2cc(OC)o2)cc1)C1=O,invalid
CC(c1ccc(OC)s1)c1ccccc1,valid
CCCCCCCCc1ccc(O)c(O)c1,valid
CCCCCC(=O)N(C)C(P(=O)(O)O)O,valid
CNc1nnc(O)n1Cc1ccccc1,valid
CC(C)CCNc1nc2ccccc2s1,valid
CC1=CC(=O)NNC(=S)NO)ccn1,invalid
CC(O)C(=O)NCC(=O)Nc1ccc(C(F)(F)(F)F)c(C)c1Cl,invalid
CCCCOC(=O)NC(c1ccc(O)c(O)c1)C1CCCOC1=O,valid
CCCCCCCCCCCOc1cccc(O)c1,valid
O=C(O)P(=O)(O)O,valid
CCCCCC(c1cccc(O)c1C)N1CCCCCN1C.Cl,valid
CCOCC(N)C(N)(C)C(P(=O)O)C(C#C)OCC(=O)O,valid
OC1CCC(C)Cn2ccnc21,valid
O=C(NO)c1nc(-c2cccc(O)c2)cn1,invalid
Cc1ccc(N(CCCO)c2ccccc2)cc1,valid
N#Cc1ccccc1NC(=O)Nc1cccc(-n2cnc(F)c2)cc1,invalid
P(=O)(=O)O,valid
Oc1ccc(Cn2cccn2)cc1,valid
CC(N)SC(=O)c1ccccc1Oc1ccccc1F,valid
O=C(NNC(c1ccccc1)NC(=O)P(=O)(O)O,invalid
C#Cc1ccc(O)cc1,valid
CCN(C)CCC(N)=O,valid
Nc1nc2ccccc2cc1C.OC,valid
CC(N)(F)CCSSCC(=O)NO,valid
COC(=O)N(C)COc1ccc(NC(=O)CCOC)o1,valid
O=C(O)c1ccccc1,valid
COc1cccc(F)c1,valid
CC(C)N(C)C(=O)NNC(=O)Nc1ccc(NC(=O)c2ccccc2)cc1,valid
CCN(CCC)CCCCCNCc1cc(O)c(S(=O)(=O)NCC(F)=O)nc12,invalid
CCOC(CO)c1nnc(-c2ccccc2)o1,valid
CN(C)CCN(Cc1ccccc1)NC(F)(F)(F),valid
CCCC(c1ccncc1)C(P(O)(=O)O)O,valid
CC(C)CCSCC(=O)NC(C)CCCCc1ccccc1,valid
COCC(c1ccccc1C)P(O)(O)O,valid
O=C(O)C(O)N(Cc1ccccc1)c1ccc(-c2cccc(F)c2)o1,valid
CN(C)CCNc1nc2ccc(OC)cc2o1,valid
NC(=O)CC(=O)NCC(c1cccco1)c1ccccc1,invalid
NC(c1ccc(B(O)O)cc1)C(P(=O)O)(P(=O)(O)O,invalid
O=c1oc2cc(F)ccc2o1,valid
O=C(CCn1nccc1)CSC1=O,invalid
Cc1ccccc1Sc1nc(NC2CCCCC2)cc(F)n1,valid
CCc1ccc(O)cc1O,valid
CCC(=O)NCCc1cc(OC)c(=O)o1,invalid
CCCCNCc1ccc(Nc2cc(C)o2)nn1,invalid
Nc1ncc(-c2ccc(C)cc2)nn1-c1ccccc1,invalid
C=CCCCCCCCCCl,valid
COc1cc2ccccc2nc1C,valid
CCCC(=O)N(C)CSC(=O)Nc1nc2ccc(C)cc21,valid
CC(N)c1ccc(OCC(=O)O)o1,valid
CCCCCCCCOC(=O)Nc1nc2ccc(N)cc2o1,valid
O=C(NNC(=O)c1ccc(-c2cccco2)nn1)c1ccccc1,invalid
CN(C)c1cccc(-c2ccccn2)n1Cc1ccccc1,invalid
NS(=O)(C(=S)NNC(=O)c1ccccc1)NC1CCCCCCCCCCNC(=O)N1,valid
COC(=O)CCn1nnnc1CCCCCOC,valid
CNc1nc(-c2ccccc2)nnn1-c1ccc(I)cc1F,invalid
Cc1oc2ccccc2n1-c1cc(-c2cccc(O)(O)c2O)onc1O,invalid
CNC(=O)NCc1ccc(O)c(O)c1,valid
O=C(NNC(c1ccc(-c2ccc(Cl)o)c2)on1)n1cccc1,invalid
CCCCSCC(=O)c1ccc(S(=O)(C)C)cc1,valid
CCCCCC(=O)Nc1ccc(C(=O)Nc2cc(O)cc(O)c2)cc1,valid
Oc1ccccc1CSSc1nccs1,valid
Clc1ccc(C(=O)O)o1,valid
CN1Cc2ccccc2OC)cc1,invalid
NNCCc1cccnc1,valid
CC1SS(=O)(=O)(=O)Nc1nccnc1,invalid
CC(C)CC(P(=O)(O)O)Cn1cncn1C,invalid
Oc1ccc(-c2cccc(CCCO)o2)cc1,invalid
CCN(C)C(CN)P(=O)(O)C(O)P(=O)O,valid
CC(C)N(CCO)c1ccc(Cn2cccc2)cc1,valid
CN(C)CCCSCCC(=O)C(=O)Cc1ccc(O)cc1,valid
CC1=CC(Nc2ccccc2)cc1,valid
Nc1cccnc1-c1cccc(-c2ccccc2)cn1,invalid
O=C(S)Nc1ccc(CCc2ccccc2)cc1,valid
CCCCCOCC1=C(C)(C)CCCOCC#CCC1=Cc1cccnc1,invalid
CCCCCCC1=C(OC(=O)N(CC(N)C(=O)N(C)CP(=O)(F)O)O1,invalid
O=C1NC(S)NCC(c1cccnc1)Nc1cccc(Cl)c1,invalid
CCCCC(=O)NCC(=O)c1ccc(Cn2ccnc2)cc1,valid
O=C(NCCc1ccccc1F)NO,valid
O=C(NN=C(Nc1ccc(Cn2cncn21)c1ccc(B)cc1)c1ccccc1,invalid
CCCCCCCC(=O)NO,valid
CCCC(N)=O,valid
O=C1Nc2cccc(O)c2C1=O,valid
CCCC(=O)NOCC(C)CCNC(=O)NO)C(F)(F)=O)NO,invalid
O=C(NO)c1ccc(-c2ccccc2)o1,valid
O=C(Nc1ccc(-c2ccc(F)cc2)cn1)c1ccccc1,valid
O=C(OCCc1cccc(O)c1)c1ccccc1C,valid
CCCCCS(=O)(=O)N(c1nc2ccc(C)o2)nn1CCC,invalid
COc1cccc2ncccc12,valid
CCCCCC(N)=O,valid
COc1ccc2ccccc2cc1CCC,invalid
O=C(Nc1ccccc1)NO,valid
COc1ccccc1C(=O)NC(c1ccccc1)P(=O)(O)O,valid
CCCCS(=O)(=O)C(=O)O,valid
CC(C)(F)(F)(F)C#CCNS(=O)(=O)NSC(c1ccccc1)n1ccnc1,invalid
COc1cc2cc(O)ccc2c(O)cn12,invalid
CCC1=C(NO)C(=O)c2ccccc2OO1,valid
COc1cccc(Oc2ccc(C)o2)n1,valid
Oc1ccc(NC(=S)NS(=O)(=O)c2cccn2)ccc1,invalid
CCNC(N)CCCCCN,valid
CCC(N)=O,valid
CC(C)(C)c1ccccc1C(=O)Nc1ccc(NC(=O)O)cc1,valid
CCC(=O)NOC(Nc1ccc(C(=O)O)c(C=O)n2ccnc2)c1,invalid
CCCCC1CCNC(=O)N(CCCC2)S=C(S)N(C)C(=O)O,invalid
Cc1ccccc1NS(=O)(=O)c1ccccc1C(=O)Nc1ccc(C)cc1,valid
